A1,A2,ttest_p,A2_expr_A1_NE,A2_expr_A1_E,ttest_p_correct,SL,percent_matched_in_paralog,WGD,either_in_complex,in_same_complex,A1_ensembl,A2_ensembl,A1_entrez,A2_entrez,copy_number_driven,nonsense_mutation_driven
TEKT2,TEKT4,0.16087732658896536,0.06410453726830903,0.02307225212382273,0.5206122970750127,False,0.293023,WGD,False,False,ENSG00000092850,ENSG00000163060,27285,150483,False,False
TEKT2,TEKT3,0.09576397566830418,0.2399229748061877,0.16607526133103787,0.4013392785351226,False,0.29534900000000003,SSD,False,False,ENSG00000092850,ENSG00000125409,27285,64518,False,False
TEKT2,TEKT5,0.6705241551059951,0.1749298779753217,0.19251724162375,0.891963975976793,False,0.281395,SSD,False,False,ENSG00000092850,ENSG00000153060,27285,146279,False,False
TEKT2,TEKT1,0.8043382340638807,0.03878614155293893,0.03359229133593939,0.9374694337810451,False,0.311628,WGD,False,False,ENSG00000092850,ENSG00000167858,27285,83659,False,False
CPAMD8,PZP,0.19679592697441736,0.026602972971097424,0.051961600450216534,0.5713179200168969,False,0.217391,SSD,False,False,ENSG00000160111,ENSG00000126838,27151,5858,False,False
CPAMD8,A2M,0.3242947561156184,0.8813068895295445,0.7129486481299865,0.7139248392861735,False,0.224638,SSD,True,False,ENSG00000160111,ENSG00000175899,27151,2,False,False
CPAMD8,CD109,0.004232613797815658,3.2412293201415228,2.6650923666448447,0.053790181017584406,True,0.22049700000000005,SSD,False,False,ENSG00000160111,ENSG00000156535,27151,135228,False,False
CPAMD8,A2ML1,0.3802625567756234,0.3281719200609359,0.408824129054541,0.7542775138822634,False,0.21118000000000006,SSD,False,False,ENSG00000160111,ENSG00000166535,27151,144568,False,False
COX6A1,COX6A2,0.14074041458937808,0.09090344115261974,0.04493265400129903,0.4868145029157662,False,0.504587,SSD,False,False,ENSG00000111775,ENSG00000156885,1337,1339,False,False
SRSF9,SRSF1,0.4113501105905352,7.7347738735632126,7.5526531532600005,0.7723572125095495,False,0.701357,WGD,True,True,ENSG00000111786,ENSG00000136450,8683,6426,False,False
SRSF4,SRSF1,0.13129154782780827,7.727876792067274,7.975900321788182,0.4718310561915439,False,0.228745,SSD,True,True,ENSG00000116350,ENSG00000136450,6429,6426,False,False
SRSF6,SRSF1,0.6588278928669324,7.719528328988384,7.740537778624485,0.8897648297834314,False,0.334302,SSD,True,True,ENSG00000124193,ENSG00000136450,6431,6426,False,False
SRSF5,SRSF1,0.02323805905440578,7.725068631890996,8.08206692894,0.17367682707566606,False,0.404412,SSD,True,True,ENSG00000100650,ENSG00000136450,6430,6426,False,False
SRSF9,SRSF6,0.5268448290761507,6.664947654474416,6.515542491973335,0.8344139469523658,False,0.393665,SSD,True,True,ENSG00000111786,ENSG00000124193,8683,6431,False,False
SRSF4,SRSF6,0.3519809830171661,6.660093057381215,6.823094495074546,0.7369526927874064,False,0.4939270000000001,WGD,True,True,ENSG00000116350,ENSG00000124193,6429,6431,False,False
SRSF5,SRSF6,0.7057300860905948,6.661956439047693,6.725348303330834,0.9061257286342188,False,0.6323529999999999,SSD,True,True,ENSG00000100650,ENSG00000124193,6430,6431,False,False
SRSF9,SRSF5,0.2995099577602618,8.07416843959042,7.835073636460001,0.6953859152436848,False,0.38009,SSD,True,True,ENSG00000111786,ENSG00000100650,8683,6430,False,False
SRSF4,SRSF5,0.7076389691764848,8.070305198466942,8.134456722432729,0.9063335153060084,False,0.346154,SSD,True,True,ENSG00000116350,ENSG00000100650,6429,6430,False,False
SRSF6,SRSF5,0.2524087849959277,8.035823683913232,8.092419186274315,0.6403418870850293,False,0.5,SSD,True,True,ENSG00000124193,ENSG00000100650,6431,6430,False,False
SRSF6,SRSF4,0.04211619314501987,6.425410067347598,6.321129883228857,0.25560182845763324,False,0.7093020000000001,WGD,True,True,ENSG00000124193,ENSG00000116350,6431,6429,False,False
SRSF5,SRSF4,0.7564792167377101,6.3606731093091335,6.307857301955,0.925288010804546,False,0.628676,SSD,True,True,ENSG00000100650,ENSG00000116350,6430,6429,False,False
SRSF6,SRSF9,0.21391108401459227,7.651674758136716,7.7028793164934575,0.5951710108137215,False,0.252907,SSD,True,True,ENSG00000124193,ENSG00000111786,6431,8683,False,False
SRSF5,SRSF9,0.7686003496377979,7.683153750644853,7.723339881924168,0.9276447010954716,False,0.308824,SSD,True,True,ENSG00000100650,ENSG00000111786,6430,8683,False,False
ELOA,ELOA2,0.4641050083973029,0.02887448234815757,0.034790762488434615,0.8057592663033529,False,0.422306,SSD,False,False,ENSG00000011007,ENSG00000206181,6924,51224,False,False
ELOA,ELOA3,0.0019038690148889216,0.03536302828292151,0.08626515090344808,0.028663044785306117,False,0.325815,SSD,False,False,ENSG00000011007,ENSG00000183791,6924,162699,False,False
SHC1,SHC2,0.15553651040995214,1.1732509140808722,1.6942244715989356,0.510382228227607,False,0.472603,WGD,True,False,ENSG00000160691,ENSG00000129946,6464,25759,False,False
SHC1,SHC3,0.4917690254836471,0.7402133173423526,0.930656475402843,0.8203122837725709,False,0.4880140000000001,WGD,True,False,ENSG00000160691,ENSG00000148082,6464,53358,False,False
SHC1,SHC4,0.8647978405559964,0.7336867313229588,0.7801440728067285,0.9530076604658956,False,0.486301,WGD,True,False,ENSG00000160691,ENSG00000185634,6464,399694,False,False
MIB1,MIB2,0.008901756665759078,4.3759917893332725,4.0518043972380005,0.09057573476115964,True,0.392644,SSD,False,False,ENSG00000101752,ENSG00000197530,57534,142678,False,False
CREB3,CREB3L3,0.09278079132389258,0.334578580249434,0.8824036052790779,0.3965131435884259,False,0.304582,WGD,False,False,ENSG00000107175,ENSG00000060566,10488,84699,False,False
CREB3,CREB3L4,0.6612975001893153,3.8695910615471183,4.0154450760666665,0.8901047051102169,False,0.309973,WGD,False,False,ENSG00000107175,ENSG00000143578,10488,148327,False,False
