A1,A2,ttest_p,A2_expr_A1_NE,A2_expr_A1_E,ttest_p_correct,SL,percent_matched_in_paralog,WGD,either_in_complex,in_same_complex,A1_ensembl,A2_ensembl,A1_entrez,A2_entrez,copy_number_driven,nonsense_mutation_driven
TEKT2,TEKT1,0.8043382340638807,0.03878614155293893,0.03359229133593939,0.9349025463130044,False,0.311628,WGD,False,False,ENSG00000092850,ENSG00000167858,27285,83659,False,False
CPAMD8,A2M,0.3242947561156184,0.8813068895295445,0.7129486481299865,0.6414721774162015,False,0.224638,SSD,True,False,ENSG00000160111,ENSG00000175899,27151,2,False,False
COX6A1,COX6A2,0.14074041458937808,0.09090344115261974,0.04493265400129903,0.4031603372253209,False,0.504587,SSD,False,False,ENSG00000111775,ENSG00000156885,1337,1339,False,False
SRSF9,SRSF1,0.4113501105905352,7.7347738735632126,7.5526531532600005,0.7177477530208478,False,0.701357,WGD,True,True,ENSG00000111786,ENSG00000136450,8683,6426,False,False
SRSF4,SRSF6,0.3519809830171661,6.660093057381215,6.823094495074546,0.6733594301052122,False,0.4939270000000001,WGD,True,True,ENSG00000116350,ENSG00000124193,6429,6431,False,False
SRSF5,SRSF6,0.7057300860905948,6.661956439047693,6.725348303330834,0.8957741853201178,False,0.6323529999999999,SSD,True,True,ENSG00000100650,ENSG00000124193,6430,6431,False,False
SRSF6,SRSF4,0.04211619314501987,6.425410067347598,6.321129883228857,0.18730893723909814,False,0.7093020000000001,WGD,True,True,ENSG00000124193,ENSG00000116350,6431,6429,False,False
ELOA,ELOA2,0.4641050083973029,0.02887448234815757,0.034790762488434615,0.7556750019116935,False,0.422306,SSD,False,False,ENSG00000011007,ENSG00000206181,6924,51224,False,False
SHC1,SHC3,0.4917690254836471,0.7402133173423526,0.930656475402843,0.7711447046161672,False,0.4880140000000001,WGD,True,False,ENSG00000160691,ENSG00000148082,6464,53358,False,False
MIB1,MIB2,0.008901756665759078,4.3759917893332725,4.0518043972380005,0.05803690098571958,True,0.392644,SSD,False,False,ENSG00000101752,ENSG00000197530,57534,142678,False,False
CREB3,CREB3L4,0.6612975001893153,3.8695910615471183,4.0154450760666665,0.8698492218715504,False,0.309973,WGD,False,False,ENSG00000107175,ENSG00000143578,10488,148327,False,False
TFDP1,TFDP3,0.7325769430395317,0.03291389889139825,0.041857287432658284,0.9060916912770538,False,0.746341,WGD,True,False,ENSG00000198176,ENSG00000183434,7027,51270,False,False
PGLYRP1,PGLYRP3,0.6737931479077169,0.12735470131787616,0.07046880176452308,0.8750685359799606,False,0.397959,SSD,False,False,ENSG00000008438,ENSG00000159527,8993,114771,False,False
CAV2,CAV1,0.4063903716058833,5.9346274404973185,6.983068134086668,0.7144026118775706,False,0.33950600000000003,SSD,True,False,ENSG00000105971,ENSG00000105974,858,857,False,False
OR6C6,OR6C70,0.550646622611807,0.025668839090003854,0.0,0.8093687696199492,False,0.7261150000000001,SSD,False,False,ENSG00000188324,ENSG00000184954,283365,390327,False,False
SCTR,VIPR1,0.6169708535221667,1.5037469197036106,1.7896039345406447,0.8502444911896764,False,0.4727270000000001,WGD,False,False,ENSG00000080293,ENSG00000114812,6344,7433,False,False
ACTB,ACTG1,0.0040873939084444455,11.235901600257916,11.02870932813711,0.03204728241146745,True,0.989333,WGD,True,True,ENSG00000075624,ENSG00000184009,60,71,True,False
ACTG1,ACTB,0.4125002214666229,11.29051142091588,11.235729451488009,0.7177477530208478,False,0.989333,WGD,True,True,ENSG00000184009,ENSG00000075624,71,60,False,False
ACTA1,ACTC1,0.38319603405431024,0.35684920121957203,0.5654035818665923,0.6919420069480513,False,0.98939,WGD,False,False,ENSG00000143632,ENSG00000159251,58,70,False,False
ACTL7A,ACTL7B,0.3761806161325069,0.016120083066818922,0.009523234715559999,0.6868318856425845,False,0.5425289999999999,SSD,False,False,ENSG00000187003,ENSG00000148156,10881,10880,False,False
ACTR1B,ACTR1A,0.13449264179777715,5.731173796485287,5.651781407148459,0.3933152981192229,False,0.904255,WGD,False,False,ENSG00000115073,ENSG00000138107,10120,10121,False,False
ACTR1A,ACTR1B,3.4233097238203503e-10,5.477393799922742,5.012624565741422,1.0924562083560028e-08,True,0.904255,WGD,False,False,ENSG00000138107,ENSG00000115073,10121,10120,True,False
IGF1R,INSR,6.256785023751532e-05,1.9010745180650042,2.456518370099308,0.0008247168085655099,False,0.5727869999999999,WGD,True,False,ENSG00000140443,ENSG00000171105,3480,3643,False,False
ALK,LTK,0.6374467766493772,0.7325259428729571,0.913796818124625,0.858656899576669,False,0.290741,WGD,False,False,ENSG00000171094,ENSG00000062524,238,4058,False,False
PATZ1,MAZ,0.007784842765337007,7.2518252785300925,7.948478323622498,0.052446774037585235,False,0.224163,SSD,True,False,ENSG00000100105,ENSG00000103495,23598,4150,False,False
LRRC15,GP5,0.8077652032205769,0.05201633589289022,0.060178034162663624,0.9349025463130044,False,0.291312,SSD,False,False,ENSG00000172061,ENSG00000178732,131578,2814,False,False
ISL1,ISL2,0.7386531758912261,1.3965364351798628,1.2896171916833898,0.9096886438362494,False,0.759312,WGD,False,False,ENSG00000016082,ENSG00000159556,3670,64843,False,False
LMO2,LMO1,0.1295996793183225,0.5076346447736575,0.044544835538019995,0.386461994557424,False,0.343612,SSD,True,False,ENSG00000135363,ENSG00000166407,4005,4004,False,False
ZER1,ZYG11B,0.12776536106641168,2.6433351535236604,2.3904726072238462,0.3822324854204501,False,0.26631900000000003,SSD,False,False,ENSG00000160445,ENSG00000162378,10444,79699,False,False
RBX1,RNF7,0.338591016598652,6.4175808256952775,6.35972360764552,0.6573074271002646,False,0.462963,SSD,True,False,ENSG00000100387,ENSG00000114125,9978,9616,False,False
SP9,SP8,0.012716285451413106,0.2748334172595674,0.7447881234692286,0.0771030774537348,False,0.609504,WGD,False,False,ENSG00000217236,ENSG00000164651,100131390,221833,False,False
SP8,SP9,0.2896386287815297,0.30332848756505765,0.5755248818298333,0.6083749027177858,False,0.580709,WGD,False,False,ENSG00000164651,ENSG00000217236,221833,100131390,False,False
SP1,SP4,0.12218778889325935,1.9587391736739488,1.8276372117282425,0.3710842037045005,False,0.387261,WGD,True,False,ENSG00000185591,ENSG00000105866,6667,6671,False,False
SP2,SP4,0.5593014049942271,1.9527638612064584,1.9159852464458167,0.8160647930785988,False,0.352365,WGD,False,False,ENSG00000167182,ENSG00000105866,6668,6671,False,False
SP5,SP1,0.11152259523259203,4.680664407816964,4.915585307727857,0.3529057287685813,False,0.396985,SSD,True,False,ENSG00000204335,ENSG00000185591,389058,6667,False,False
SP3,SP1,0.1696797723211116,4.680441995971554,4.851047434027,0.4518860270322281,False,0.361076,WGD,True,False,ENSG00000172845,ENSG00000185591,6670,6667,False,False
KLF10,KLF11,0.4533421348183623,2.53571058587906,2.220228055606667,0.7475551489293077,False,0.383333,WGD,True,False,ENSG00000155090,ENSG00000172059,7071,8462,False,False
NR6A1,NR5A2,0.2667937126458606,0.6160704105476245,0.13336844243096665,0.5818918025213674,False,0.25833300000000003,SSD,True,False,ENSG00000148200,ENSG00000116833,2649,2494,False,False
CD151,TSPAN11,0.8823701585582359,0.6299651236089681,0.6852981331690222,0.9564955200571384,False,0.5652170000000001,WGD,True,False,ENSG00000177697,ENSG00000110900,977,441631,False,False
ZNF625,ZNF433,0.6939093755061525,1.5388887571004677,1.6334949903869882,0.8857692309092572,False,0.7876340000000001,SSD,False,False,ENSG00000257591,ENSG00000197647,90589,163059,False,False
FOXC2,FOXC1,0.42255927385291,2.2392710883600646,2.056950097918618,0.7226613772419077,False,0.536926,WGD,False,False,ENSG00000176692,ENSG00000054598,2303,2296,False,False
FOXA2,FOXA1,0.7547734981347924,2.152329160168695,1.9999965208679669,0.9152886620714582,False,0.5745140000000001,WGD,False,False,ENSG00000125798,ENSG00000129514,3170,3169,False,False
FOXD3,FOXD1,0.10211914871611404,1.0538672355535896,0.6969378054391105,0.33358595517256323,False,0.393305,WGD,False,False,ENSG00000187140,ENSG00000251493,27022,2297,False,False
FOXA1,FOXA2,0.4159701762543703,0.9547752118418747,0.6660046907625443,0.718565765058594,False,0.563559,WGD,False,False,ENSG00000129514,ENSG00000125798,3169,3170,False,False
FOXL2,FOXC2,0.6075585304635511,0.7077373463542685,0.6464915792865319,0.8442314148910194,False,0.289894,SSD,False,False,ENSG00000183770,ENSG00000176692,668,2303,False,False
RPRD1B,RPRD1A,0.18525592379512335,5.063411523987941,4.987141217027184,0.4706431918761584,False,0.650307,WGD,False,False,ENSG00000101413,ENSG00000141425,58490,55197,False,False
CCNB1,CCNB2,0.00837716398899323,6.350128177159221,6.136437279243963,0.05521036701441552,True,0.498845,WGD,True,True,ENSG00000134057,ENSG00000157456,891,9133,True,False
CCNE1,CCNE2,0.0004006954418754331,3.4949672368742477,2.778965221125629,0.00439075306488803,True,0.4829270000000001,WGD,True,False,ENSG00000105173,ENSG00000175305,898,9134,False,False
PPM1J,PPM1H,0.41280754266643616,1.9761158408714632,1.7311820592747056,0.7177477530208478,False,0.546535,WGD,False,False,ENSG00000155367,ENSG00000111110,333926,57460,False,False
WDR38,POC1A,0.05759523179107825,4.0373827760866785,4.4507861958744455,0.23076151239641265,False,0.273016,SSD,False,False,ENSG00000136918,ENSG00000164087,401551,25886,False,False
POC1B,POC1A,0.7434185764378279,4.043154500004161,4.130337121305,0.9124685496224084,False,0.497908,WGD,False,False,ENSG00000139323,ENSG00000164087,282809,25886,False,False
POC1A,POC1B,7.14609132685862e-06,3.5817147319767457,3.2178799481977776,0.00011503309843854717,True,0.584767,WGD,False,False,ENSG00000164087,ENSG00000139323,25886,282809,True,False
DEPDC1,DEPDC1B,0.193344634134249,4.303361004167652,4.514608611491363,0.4811133919154568,False,0.350185,WGD,False,False,ENSG00000024526,ENSG00000035499,55635,55789,False,False
EP300,CREBBP,0.0032818013688430967,3.942903613789553,4.12746632156653,0.027011749728170102,False,0.612676,WGD,True,True,ENSG00000100393,ENSG00000005339,2033,1387,False,False
BRD2,BRD3,7.594092004998235e-05,3.706347784257139,3.448515888532793,0.0009866895255065565,True,0.564593,WGD,False,False,ENSG00000204256,ENSG00000169925,6046,8019,True,False
RND1,RND3,0.05130737719914055,4.6178350398941035,3.8217779895417596,0.21284146283099847,False,0.612069,WGD,False,False,ENSG00000172602,ENSG00000115963,27289,390,False,False
RHOF,RHOD,0.019178649504606703,3.0938662445682366,2.1955634492366043,0.1032129096120698,False,0.50237,SSD,True,False,ENSG00000139725,ENSG00000173156,54509,29984,False,False
RHOD,RHOF,0.4646115987990319,3.545678873529894,3.908905264748889,0.7556750019116935,False,0.5047619999999999,SSD,True,False,ENSG00000173156,ENSG00000139725,29984,54509,False,False
RHOA,RHOC,4.562137894345378e-05,7.875102154081082,7.382993020012549,0.0006239495360762587,True,0.917098,SSD,True,False,ENSG00000067560,ENSG00000155366,387,389,True,False
DYNLT1,DYNLT3,0.0006844194759115902,3.962358561378733,3.021039485149696,0.007114051581046756,True,0.5398229999999999,WGD,True,True,ENSG00000146425,ENSG00000165169,6993,6990,False,False
HERC2,HERC1,0.58962419539419,4.463277558240233,4.524029255508334,0.835951996431825,False,0.248035,SSD,True,False,ENSG00000128731,ENSG00000103657,8924,8925,False,False
ANKRD17,ANKHD1,0.017467526126150334,5.870629424546904,5.713181070851125,0.09776440007220756,True,0.610449,WGD,False,False,ENSG00000132466,ENSG00000131503,26057,54882,False,False
ELAVL1,ELAVL2,0.007236403964504635,0.9420291485729184,0.409481900233206,0.05024052981463332,True,0.733129,WGD,True,False,ENSG00000066044,ENSG00000107105,1994,1993,True,False
SPDYE4,SPDYE16,0.1896983837970319,0.02576483293938099,0.0,0.4772632920149392,False,0.7173,SSD,False,False,ENSG00000183318,ENSG00000185040,388333,102723555,False,False
SPDYC,SPDYA,0.2138572736057996,0.613818624063665,0.4843918068686667,0.5096719029431798,False,0.348123,SSD,False,False,ENSG00000204710,ENSG00000163806,387778,245711,False,False
FDX1,FDX2,0.010909880131432159,4.697263178750251,4.548263543573506,0.06866624234214838,True,0.27717400000000003,SSD,False,False,ENSG00000137714,ENSG00000267673,2230,112812,False,False
HIPK1,HIPK2,0.3070783251880671,3.2506572778654217,2.854916146531614,0.630368439761197,False,0.64876,WGD,True,False,ENSG00000163349,ENSG00000064393,204851,28996,False,False
DYRK1A,DYRK1B,0.038612456678968614,2.4376753259085007,2.0520614973665428,0.17747677934318856,False,0.536042,WGD,False,False,ENSG00000157540,ENSG00000105204,1859,9149,False,False
FZD5,FZD8,0.4938950773423858,1.4971681376686496,1.1284032922059717,0.7727089476450697,False,0.6940170000000001,WGD,True,False,ENSG00000163251,ENSG00000177283,7855,8325,False,False
ADSSL1,ADSS,0.6767156034873798,5.177581572199462,5.238119650451334,0.8758614730652803,False,0.632,WGD,False,False,ENSG00000185100,ENSG00000035687,122622,159,False,False
CDYL,CDY1,0.8693773906830591,0.0007979543485920664,0.0,0.9548721409133434,False,0.628676,SSD,True,False,ENSG00000153046,ENSG00000172288,9425,9085,False,False
YBX1,YBX3,0.006295831133744464,7.574497162915943,7.043415640293353,0.04580846732912472,True,0.5956790000000001,SSD,True,False,ENSG00000065978,ENSG00000060138,4904,8531,False,False
