entrez_id,essential_percent,category,ensembl_id,symbol,percent_matched_in_paralog,num_paralogs,WGD
8036,0.06989247311827956,Sometimes,ENSG00000108061,SHOC2,0.254296,2,SSD
55967,0.005376344086021506,Sometimes,,,0.0,0,Singleton
55153,0.7060931899641577,Sometimes,,,0.0,0,Singleton
25940,0.0,Never,ENSG00000119812,FAM98A,0.426641,2,WGD
23224,0.0,Never,ENSG00000054654,SYNE2,0.305198,1,WGD
116071,0.025089605734767026,Sometimes,,,0.0,0,Singleton
114803,0.0,Never,,,0.0,0,Singleton
1967,0.9731182795698925,Broadly,,,0.0,0,Singleton
23014,0.012544802867383513,Sometimes,,,0.0,0,Singleton
29957,0.0,Never,ENSG00000085491,SLC25A24,0.610063,5,WGD
7156,0.996415770609319,Broadly,ENSG00000177302,TOP3A,0.282717,1,SSD
51123,0.0,Never,,,0.0,0,Singleton
5291,0.014336917562724014,Sometimes,ENSG00000051382,PIK3CB,0.557944,3,WGD
84250,0.014336917562724014,Sometimes,,,0.0,0,Singleton
4257,0.0,Never,ENSG00000008394,MGST1,0.335484,1,SSD
5321,0.0,Never,ENSG00000116711,PLA2G4A,0.307076,4,SSD
22832,0.0,Never,,,0.0,0,Singleton
151246,0.016129032258064516,Sometimes,,,0.0,0,Singleton
257044,0.0,Never,,,0.0,0,Singleton
387,0.3010752688172043,Sometimes,ENSG00000067560,RHOA,0.917098,7,SSD
154214,0.0017921146953405018,Sometimes,,,0.0,0,Singleton
11126,0.0,Never,,,0.0,0,Singleton
79671,0.0,Never,,,0.0,0,Singleton
389549,0.0,Never,ENSG00000128610,FEZF1,0.534737,3,WGD
22821,0.0,Never,ENSG00000185989,RASA3,0.604317,4,WGD
144321,0.0,Never,ENSG00000180481,GLIPR1L2,0.30232600000000004,2,SSD
56288,0.053763440860215055,Sometimes,ENSG00000148498,PARD3,0.3672570000000001,1,WGD
26248,0.0,Never,ENSG00000171133,OR2K2,0.626582,10,SSD
7434,0.0017921146953405018,Sometimes,ENSG00000106018,VIPR2,0.506849,10,WGD
10360,0.16487455197132617,Sometimes,ENSG00000107833,NPM3,0.348315,2,SSD
347169,0.0,Never,,,0.0,0,Singleton
9318,0.8136200716845878,Sometimes,ENSG00000166200,COPS2,0.213333,1,SSD
65265,0.2168458781362007,Sometimes,,,0.0,0,Singleton
23743,0.005376344086021506,Sometimes,ENSG00000132840,BHMT2,0.7768600000000001,1,SSD
6863,0.0,Never,,,0.0,0,Singleton
2206,0.0,Never,ENSG00000149534,MS4A2,0.229508,1,SSD
23421,0.0,Never,,,0.0,0,Singleton
2923,0.0017921146953405018,Sometimes,ENSG00000167004,PDIA3,0.40198,5,SSD
3021,0.010752688172043012,Sometimes,ENSG00000132475,H3F3B,1.0,16,WGD
7727,0.0913978494623656,Sometimes,ENSG00000103343,ZNF174,0.366093,10,SSD
55744,0.0017921146953405018,Sometimes,,,0.0,0,Singleton
1572,0.0017921146953405018,Sometimes,ENSG00000197446,CYP2F1,0.5234219999999999,9,SSD
100130348,0.0,Never,,,0.0,0,Singleton
5604,0.01971326164874552,Sometimes,ENSG00000169032,MAP2K1,0.811705,6,WGD
10395,0.0017921146953405018,Sometimes,ENSG00000164741,DLC1,0.400524,2,WGD
153201,0.0,Never,ENSG00000186335,SLC36A2,0.6853,3,SSD
84298,0.10931899641577061,Sometimes,,,0.0,0,Singleton
1544,0.0035842293906810036,Sometimes,ENSG00000140505,CYP1A2,0.717054,5,SSD
3203,0.0035842293906810036,Sometimes,ENSG00000106006,HOXA6,0.545064,15,WGD
9470,0.10215053763440861,Sometimes,ENSG00000135930,EIF4E2,0.302041,3,SSD
85474,0.0,Never,ENSG00000179528,LBX2,0.535354,5,WGD
100288323,0.0,Never,,,0.0,0,Singleton
80018,0.9068100358422939,Broadly,,,0.0,0,Singleton
23519,0.0,Never,ENSG00000139223,ANP32D,0.8931299999999999,3,WGD
4048,0.0,Never,ENSG00000111144,LTA4H,0.368249,2,SSD
966,0.0,Never,,,0.0,0,Singleton
93273,0.0,Never,,,0.0,0,Singleton
114795,0.0,Never,ENSG00000139364,TMEM132B,0.521336,4,WGD
116832,0.0,Never,ENSG00000163923,RPL39L,0.9215690000000001,1,WGD
3454,0.0,Never,,,0.0,0,Singleton
140801,0.0,Never,ENSG00000165496,RPL10L,0.957944,1,SSD
10277,0.14874551971326164,Sometimes,,,0.0,0,Singleton
117159,0.0,Never,,,0.0,0,Singleton
6934,0.053763440860215055,Sometimes,ENSG00000148737,TCF7L2,0.598007,3,WGD
84146,0.0035842293906810036,Sometimes,,,0.0,0,Singleton
58493,0.0,Never,,,0.0,0,Singleton
144363,0.0,Never,,,0.0,0,Singleton
221656,0.0,Never,ENSG00000165097,KDM1B,0.305085,2,SSD
11335,0.0,Never,ENSG00000122565,CBX3,0.7103830000000001,2,WGD
23585,0.0,Never,ENSG00000183726,TMEM50A,0.687898,1,WGD
7534,0.14336917562724014,Sometimes,ENSG00000164924,YWHAZ,0.8693879999999999,6,WGD
51668,0.0,Never,,,0.0,0,Singleton
81833,0.005376344086021506,Sometimes,,,0.0,0,Singleton
9375,0.0931899641577061,Sometimes,ENSG00000125304,TM9SF2,0.429864,3,SSD
51454,0.0,Never,ENSG00000144366,GULP1,0.223684,1,SSD
80152,0.9587813620071685,Broadly,,,0.0,0,Singleton
83643,0.0,Never,,,0.0,0,Singleton
9874,0.0,Never,ENSG00000198586,TLK1,0.7088770000000001,1,WGD
84665,0.0,Never,ENSG00000138347,MYPN,0.37954499999999997,1,WGD
374618,0.0,Never,,,0.0,0,Singleton
5654,0.0035842293906810036,Sometimes,ENSG00000166033,HTRA1,0.545833,3,WGD
84561,0.014336917562724014,Sometimes,,,0.0,0,Singleton
284161,0.0035842293906810036,Sometimes,ENSG00000153982,GDPD1,0.410828,1,WGD
80763,0.0,Never,,,0.0,0,Singleton
90634,0.0,Never,,,0.0,0,Singleton
