,A1,A2,ttest_p,A2_expr_A1_NE,A2_expr_A1_E,ttest_p_correct,SL,A1_ensembl,A2_ensembl,percent_matched_in_paralog,WGD,any_complex,any_essential,same_complex,same_chr,closest,A1_entrez,A2_entrez
0,ABHD2,ABHD3,0.1978808574048296,4.145666620715183,4.55621565182875,0.486059530769908,False,ENSG00000140526,ENSG00000158201,0.211765,SSD,False,False,False,False,True,11057,171586
1,DDX17,DDX5,0.1446617277220433,8.634041817092443,8.382610129745,0.4090794174953568,False,ENSG00000100201,ENSG00000108654,0.575923,WGD,True,True,True,False,True,10521,1655
2,GSC2,GSC,0.8526888637471253,0.3616433224164435,0.3181500609171111,0.9483424818280622,False,ENSG00000063515,ENSG00000133937,0.37561,WGD,False,False,False,False,True,2928,145258
3,TUBD1,TUBE1,0.9686449119927067,3.9417068839676612,3.9448662855850696,0.9903070084796184,False,ENSG00000108423,ENSG00000074935,0.262693,SSD,False,False,False,False,True,51174,51175
4,ARFRP1,ARL13A,0.13194655772316038,0.05792249169152758,0.07835207935079118,0.38836697168030543,False,ENSG00000101246,ENSG00000174225,0.27363200000000004,SSD,False,False,False,False,True,10139,392509
5,ARL13B,ARL13A,0.7222553673625065,0.0723366571230398,0.09052768703917499,0.9023231546925821,False,ENSG00000169379,ENSG00000174225,0.207944,SSD,False,False,False,False,True,200894,392509
6,TUBA1A,TUBA1B,0.12135946308143747,10.622667246504957,10.888926532521362,0.3703907103106288,False,ENSG00000167552,ENSG00000123416,0.995565,SSD,True,True,False,True,True,7846,10376
7,TUBA4A,TUBA1B,0.0640336321542717,10.647028047388439,10.353251916731153,0.2478237806140856,False,ENSG00000127824,ENSG00000123416,0.96875,WGD,True,True,False,False,True,7277,10376
8,SENP1,SENP2,0.17859780807459502,4.624973544111585,4.38488710647,0.4608076778548771,False,ENSG00000079387,ENSG00000163904,0.309006,WGD,False,False,False,False,True,29843,59343
9,SAMD4A,SAMD4B,0.7069895994478811,6.103672399430461,6.0629344062344455,0.8961770602060598,False,ENSG00000020577,ENSG00000179134,0.618384,WGD,False,False,False,False,True,23034,55095
10,PDHB,BCKDHB,0.5765351115362003,3.4714250098221715,3.6235809384014286,0.8257617069955501,False,ENSG00000168291,ENSG00000083123,0.334262,SSD,False,False,False,False,True,5162,594
